valid_loss,valid_MAE,epoch,step,train_MAE,train_loss
0.05725408345460892,0.19401802122592926,0,41,,
,,0,41,0.1954609602689743,
,,1,49,,0.04850437864661217
0.05473525449633598,0.18707898259162903,1,83,,
,,1,83,0.16645991802215576,
,,2,99,,0.044569775462150574
0.051321711391210556,0.1787601262331009,2,125,,
,,2,125,0.15758396685123444,
,,3,149,,0.03637615963816643
0.04439368098974228,0.16477800905704498,3,167,,
,,3,167,0.1480228304862976,
,,4,199,,0.03127611428499222
0.040716882795095444,0.15607574582099915,4,209,,
,,4,209,0.13915517926216125,
,,5,249,,0.028343914076685905
0.03732834383845329,0.14777889847755432,5,251,,
,,5,251,0.13324041664600372,
0.03383689001202583,0.1405860036611557,6,293,,
,,6,293,0.12678666412830353,
,,7,299,,0.024466117843985558
0.030183376744389534,0.13352735340595245,7,335,,
,,7,335,0.11960133910179138,
,,8,349,,0.021820686757564545
0.028741110116243362,0.1275184154510498,8,377,,
,,8,377,0.11285509914159775,
,,9,399,,0.019436949864029884
0.0277724452316761,0.12588323652744293,9,419,,
,,9,419,0.10895095020532608,
,,10,449,,0.019214751198887825
0.027291087433695793,0.12403927743434906,10,461,,
,,10,461,0.10704358667135239,
,,11,499,,0.019059909507632256
0.027303513139486313,0.12336870282888412,11,503,,
,,11,503,0.10573545098304749,
0.02687959000468254,0.12302197515964508,12,545,,
,,12,545,0.10476790368556976,
,,13,549,,0.01852230355143547
0.02709444798529148,0.12323766946792603,13,587,,
,,13,587,0.10409175604581833,
,,14,599,,0.01852441392838955
0.02652118168771267,0.12245461344718933,14,629,,
,,14,629,0.10340569913387299,
,,15,649,,0.017703166231513023
0.026365142315626144,0.12215834856033325,15,671,,
,,15,671,0.10286591947078705,
,,16,699,,0.01767730712890625
0.026440251618623734,0.12174350023269653,16,713,,
,,16,713,0.10241593420505524,
,,17,749,,0.01832033134996891
0.02624185010790825,0.12196354568004608,17,755,,
,,17,755,0.10192389786243439,
0.026437371969223022,0.12168197333812714,18,797,,
,,18,797,0.10146407037973404,
,,19,799,,0.017769241705536842
0.025792604312300682,0.12090560048818588,19,839,,
,,19,839,0.10093943029642105,
