valid_loss,valid_MAE,epoch,step,train_MAE,train_loss
0.026758212596178055,0.11038397252559662,0,27,,
,,0,27,0.163021981716156,
,,1,49,,0.03228241205215454
0.025410665199160576,0.10734821110963821,1,55,,
,,1,55,0.12619197368621826,
0.024235548451542854,0.10418611764907837,2,83,,
,,2,83,0.12245145440101624,
,,3,99,,0.029985999688506126
0.02259945124387741,0.1031859889626503,3,111,,
,,3,111,0.11951150000095367,
0.01951448991894722,0.09904006868600845,4,139,,
,,4,139,0.11676302552223206,
,,5,149,,0.02395755983889103
0.016735218465328217,0.09475768357515335,5,167,,
,,5,167,0.11282571405172348,
0.0158564280718565,0.09317108243703842,6,195,,
,,6,195,0.10908682644367218,
,,7,199,,0.020547807216644287
0.015296627767384052,0.09136519581079483,7,223,,
,,7,223,0.10603005439043045,
,,8,249,,0.017995160073041916
0.014709001407027245,0.08742252737283707,8,251,,
,,8,251,0.10244932025671005,
0.014119814150035381,0.08482108265161514,9,279,,
,,9,279,0.09779199957847595,
,,10,299,,0.016369756311178207
0.013759436085820198,0.08142344653606415,10,307,,
,,10,307,0.09342576563358307,
0.013254091143608093,0.07704643905162811,11,335,,
,,11,335,0.08908488601446152,
,,12,349,,0.014095254242420197
0.013249804265797138,0.07581638544797897,12,363,,
,,12,363,0.0848560780286789,
0.01317452359944582,0.07328879088163376,13,391,,
,,13,391,0.08252537250518799,
,,14,399,,0.013384233228862286
0.0131899518892169,0.072960764169693,14,419,,
,,14,419,0.0809638649225235,
0.013155809603631496,0.0735725462436676,15,447,,
,,15,447,0.07983876764774323,
,,16,449,,0.012271792627871037
0.013069468550384045,0.0725417211651802,16,475,,
,,16,475,0.07896401733160019,
,,17,499,,0.012582316063344479
0.013033290393650532,0.0718320831656456,17,503,,
,,17,503,0.07820924371480942,
0.013010658323764801,0.07167097926139832,18,531,,
,,18,531,0.07749997824430466,
,,19,549,,0.011787123046815395
0.012955320067703724,0.0716024860739708,19,559,,
,,19,559,0.07696543633937836,
