valid_loss,valid_MAE,epoch,step,train_MAE,train_loss
0.05601715296506882,0.19024211168289185,0,41,,
,,0,41,0.20194776356220245,
,,1,49,,0.043319765478372574
0.045655474066734314,0.16729505360126495,1,83,,
,,1,83,0.15423569083213806,
,,2,99,,0.032147109508514404
0.03842572495341301,0.1528439223766327,2,125,,
,,2,125,0.140758216381073,
,,3,149,,0.028292134404182434
0.02773245982825756,0.1271715611219406,3,167,,
,,3,167,0.13052232563495636,
,,4,199,,0.02260255441069603
0.02306506782770157,0.11669041961431503,4,209,,
,,4,209,0.11909125000238419,
,,5,249,,0.02021944522857666
0.021547889336943626,0.10921448469161987,5,251,,
,,5,251,0.1118677631020546,
0.021094053983688354,0.10591781884431839,6,293,,
,,6,293,0.10832330584526062,
,,7,299,,0.019728176295757294
0.020901493728160858,0.1051928699016571,7,335,,
,,7,335,0.10659241676330566,
,,8,349,,0.018908200785517693
0.020502908155322075,0.1037493497133255,8,377,,
,,8,377,0.10545614361763,
,,9,399,,0.019825290888547897
0.020604269579052925,0.10418828576803207,9,419,,
,,9,419,0.10446765273809433,
,,10,449,,0.019023796543478966
0.020095542073249817,0.10087676346302032,10,461,,
,,10,461,0.10399585962295532,
,,11,499,,0.018963485956192017
0.01998431235551834,0.10038327425718307,11,503,,
,,11,503,0.10317417979240417,
0.019767632707953453,0.09936371445655823,12,545,,
,,12,545,0.10258223861455917,
,,13,549,,0.018732665106654167
0.01989908516407013,0.0998193547129631,13,587,,
,,13,587,0.10225655883550644,
,,14,599,,0.01804163120687008
0.01952238567173481,0.09818033874034882,14,629,,
,,14,629,0.1017073392868042,
,,15,649,,0.016939617693424225
0.019829703494906425,0.09930018335580826,15,671,,
,,15,671,0.10115419328212738,
,,16,699,,0.01806921511888504
0.019743388518691063,0.09933941066265106,16,713,,
,,16,713,0.1007622554898262,
,,17,749,,0.017228899523615837
0.019412199035286903,0.09769270569086075,17,755,,
,,17,755,0.1004554033279419,
0.019066374748945236,0.09654798358678818,18,797,,
,,18,797,0.09992797672748566,
,,19,799,,0.018332242965698242
0.01932479627430439,0.0976884514093399,19,839,,
,,19,839,0.0995977371931076,
