valid_loss,valid_MAE,epoch,step,train_MAE,train_loss
0.03582765907049179,0.15363959968090057,0,41,,
,,0,41,0.18386110663414001,
,,1,49,,0.03384146839380264
0.0279721487313509,0.13278913497924805,1,83,,
,,1,83,0.14159418642520905,
,,2,99,,0.028246955946087837
0.020322531461715698,0.11188904196023941,2,125,,
,,2,125,0.12783540785312653,
,,3,149,,0.021731959655880928
0.01745796948671341,0.09870553761720657,3,167,,
,,3,167,0.11608945578336716,
,,4,199,,0.021265998482704163
0.018674539402127266,0.10609860718250275,4,209,,
,,4,209,0.11218620836734772,
,,5,249,,0.021032162010669708
0.017563924193382263,0.09854095429182053,5,251,,
,,5,251,0.11019214242696762,
0.018642794340848923,0.1046440601348877,6,293,,
,,6,293,0.10902432352304459,
