valid_loss,valid_MAE,epoch,step,train_MAE,train_loss
0.03705490380525589,0.13701371848583221,0,27,,
,,0,27,0.2022644430398941,
,,1,49,,0.03011375293135643
0.028981545940041542,0.1273012012243271,1,55,,
,,1,55,0.12445833534002304,
0.022209253162145615,0.11841746419668198,2,83,,
,,2,83,0.11863784492015839,
,,3,99,,0.02238898165524006
0.01995900087058544,0.11274189502000809,3,111,,
,,3,111,0.11343300342559814,
0.01885366626083851,0.10956570506095886,4,139,,
,,4,139,0.10989786684513092,
,,5,149,,0.020128484815359116
0.017879735678434372,0.10601583868265152,5,167,,
,,5,167,0.10660544782876968,
0.016903160139918327,0.102173812687397,6,195,,
,,6,195,0.10293375700712204,
,,7,199,,0.017363594844937325
0.015376913361251354,0.09423648566007614,7,223,,
,,7,223,0.09789976477622986,
,,8,249,,0.014903862960636616
0.014012603089213371,0.08569174259901047,8,251,,
,,8,251,0.09159158170223236,
0.013477440923452377,0.08156971633434296,9,279,,
,,9,279,0.08659584820270538,
,,10,299,,0.013307503424584866
0.013250458985567093,0.07941515743732452,10,307,,
,,10,307,0.083067387342453,
0.013125985860824585,0.07932881265878677,11,335,,
,,11,335,0.08119522780179977,
,,12,349,,0.012440066784620285
0.013015949167311192,0.0786483883857727,12,363,,
,,12,363,0.080045685172081,
0.012902351096272469,0.07817860692739487,13,391,,
,,13,391,0.07915373891592026,
,,14,399,,0.012027846649289131
0.012758075259625912,0.0774594321846962,14,419,,
,,14,419,0.07832109183073044,
0.012657061219215393,0.07660544663667679,15,447,,
,,15,447,0.0777599960565567,
,,16,449,,0.012715259566903114
0.012845712713897228,0.07800497859716415,16,475,,
,,16,475,0.0771709457039833,
,,17,499,,0.012399918399751186
0.012841746211051941,0.0777350664138794,17,503,,
,,17,503,0.07670429348945618,
0.012746213003993034,0.07685486972332001,18,531,,
,,18,531,0.07625763863325119,
,,19,549,,0.012683996930718422
0.01259446982294321,0.07665695995092392,19,559,,
,,19,559,0.07584303617477417,
