valid_loss,valid_MAE,epoch,step,train_MAE,train_loss
0.04320504143834114,0.16626107692718506,0,41,,
,,0,41,0.17039382457733154,
,,1,49,,0.03349889814853668
0.033487461507320404,0.14559392631053925,1,83,,
,,1,83,0.13706055283546448,
,,2,99,,0.023218918591737747
0.029323801398277283,0.1352454274892807,2,125,,
,,2,125,0.11871226131916046,
,,3,149,,0.0193165373057127
0.029311945661902428,0.13432259857654572,3,167,,
,,3,167,0.1120578944683075,
,,4,199,,0.020232971757650375
0.03014863282442093,0.135519340634346,4,209,,
,,4,209,0.11007183790206909,
,,5,249,,0.02164195477962494
0.029819274321198463,0.13512130081653595,5,251,,
,,5,251,0.10869066417217255,
0.02979893796145916,0.1350840926170349,6,293,,
,,6,293,0.10795033723115921,
