valid_loss,valid_MAE,epoch,step,train_MAE,train_loss
0.03180660679936409,0.1490454226732254,0,41,,
,,0,41,0.1814936250448227,
,,1,49,,0.03535991907119751
0.02592846006155014,0.13370618224143982,1,83,,
,,1,83,0.14152371883392334,
,,2,99,,0.025635264813899994
0.022580686956644058,0.12227196991443634,2,125,,
,,2,125,0.12586192786693573,
,,3,149,,0.021171577274799347
0.019719932228326797,0.11217409372329712,3,167,,
,,3,167,0.1136411800980568,
,,4,199,,0.021365799009799957
0.02030501328408718,0.1134849339723587,4,209,,
,,4,209,0.11015630513429642,
,,5,249,,0.01973896287381649
0.019983790814876556,0.11283928155899048,5,251,,
,,5,251,0.10911068320274353,
0.01978030428290367,0.11101814359426498,6,293,,
,,6,293,0.10824000835418701,
,,7,299,,0.01914503052830696
0.019513752311468124,0.11030228435993195,7,335,,
,,7,335,0.10709000378847122,
,,8,349,,0.018549930304288864
0.01919911429286003,0.10921040177345276,8,377,,
,,8,377,0.10652538388967514,
,,9,399,,0.018549717962741852
0.018761346116662025,0.1076667383313179,9,419,,
,,9,419,0.10610301047563553,
,,10,449,,0.02010660246014595
0.018745120614767075,0.10685283690690994,10,461,,
,,10,461,0.10564367473125458,
,,11,499,,0.019160155206918716
0.01868283376097679,0.10738064348697662,11,503,,
,,11,503,0.10513382405042648,
0.019099347293376923,0.10853259265422821,12,545,,
,,12,545,0.10479151457548141,
,,13,549,,0.019942646846175194
0.019372688606381416,0.11030855029821396,13,587,,
,,13,587,0.10439498722553253,
,,14,599,,0.020518895238637924
0.018321288749575615,0.10482648015022278,14,629,,
,,14,629,0.1041061207652092,
,,15,649,,0.01870540902018547
0.019327403977513313,0.1093040183186531,15,671,,
,,15,671,0.103779636323452,
,,16,699,,0.01834499090909958
0.018709013238549232,0.10705449432134628,16,713,,
,,16,713,0.10357701778411865,
,,17,749,,0.019265465438365936
0.0187572930008173,0.1071699783205986,17,755,,
,,17,755,0.10305039584636688,
0.018916672095656395,0.10797416418790817,18,797,,
,,18,797,0.10317236185073853,
