valid_loss,valid_MAE,epoch,step,train_MAE,train_loss
0.04466342553496361,0.15220536291599274,0,41,,
,,0,41,0.19978980720043182,
,,1,49,,0.048794183880090714
0.04271781072020531,0.1470944732427597,1,83,,
,,1,83,0.16904424130916595,
,,2,99,,0.046141427010297775
0.04096350818872452,0.14574266970157623,2,125,,
,,2,125,0.1613987386226654,
,,3,149,,0.04520450532436371
0.03893423452973366,0.14337006211280823,3,167,,
,,3,167,0.15678881108760834,
,,4,199,,0.03993751481175423
0.03412804752588272,0.13514873385429382,4,209,,
,,4,209,0.15289252996444702,
,,5,249,,0.0329747349023819
0.02678748592734337,0.12286145985126495,5,251,,
,,5,251,0.14499375224113464,
0.02494535781443119,0.11989191919565201,6,293,,
,,6,293,0.1390443593263626,
,,7,299,,0.03103465400636196
0.02383638732135296,0.1184084564447403,7,335,,
,,7,335,0.1359769105911255,
,,8,349,,0.029712865129113197
0.022203071042895317,0.11451030522584915,8,377,,
,,8,377,0.13145214319229126,
,,9,399,,0.025104738771915436
0.020195510238409042,0.10749013721942902,9,419,,
,,9,419,0.12390059232711792,
,,10,449,,0.021470889449119568
0.018796291202306747,0.10251777619123459,10,461,,
,,10,461,0.11536170542240143,
,,11,499,,0.020630916580557823
0.01854434423148632,0.10198500752449036,11,503,,
,,11,503,0.11090125888586044,
0.018157852813601494,0.10085587203502655,12,545,,
,,12,545,0.10863368958234787,
,,13,549,,0.020068826153874397
0.018176790326833725,0.10095848888158798,13,587,,
,,13,587,0.1070670560002327,
,,14,599,,0.019253240898251534
0.018251385539770126,0.1011417880654335,14,629,,
,,14,629,0.10585742443799973,
,,15,649,,0.01949150674045086
0.017952071502804756,0.10010096430778503,15,671,,
,,15,671,0.10495816916227341,
,,16,699,,0.01885450817644596
0.017939243465662003,0.10018600523471832,16,713,,
,,16,713,0.10416997969150543,
,,17,749,,0.01898137852549553
0.018001845106482506,0.10056090354919434,17,755,,
,,17,755,0.10359343886375427,
0.017797380685806274,0.0996159091591835,18,797,,
,,18,797,0.10309211909770966,
,,19,799,,0.01787026785314083
0.01780768856406212,0.09981633722782135,19,839,,
,,19,839,0.10252918303012848,
