valid_loss,valid_MAE,epoch,step,train_MAE,train_loss
0.06168302148580551,0.2047220766544342,0,41,,
,,0,41,0.21089854836463928,
,,1,49,,0.050426263362169266
0.05781472846865654,0.19403091073036194,1,83,,
,,1,83,0.17340852320194244,
,,2,99,,0.04825765639543533
0.05544670298695564,0.18618622422218323,2,125,,
,,2,125,0.16679686307907104,
,,3,149,,0.04464413598179817
0.05293971672654152,0.17296946048736572,3,167,,
,,3,167,0.16042901575565338,
,,4,199,,0.041123777627944946
0.04930660501122475,0.1660766452550888,4,209,,
,,4,209,0.15460529923439026,
,,5,249,,0.03384452685713768
0.042221058160066605,0.15757599472999573,5,251,,
,,5,251,0.1467614322900772,
0.03705956041812897,0.1483338326215744,6,293,,
,,6,293,0.1392703503370285,
,,7,299,,0.029750527814030647
0.027146538719534874,0.12373320758342743,7,335,,
,,7,335,0.1317606121301651,
,,8,349,,0.025974998250603676
0.02265535481274128,0.11436115205287933,8,377,,
,,8,377,0.12241465598344803,
,,9,399,,0.02205163985490799
0.02055344544351101,0.10720781236886978,9,419,,
,,9,419,0.11453286558389664,
,,10,449,,0.01994563825428486
0.02022605948150158,0.10587159544229507,10,461,,
,,10,461,0.1106451079249382,
,,11,499,,0.02022756077349186
0.019399866461753845,0.10211317241191864,11,503,,
,,11,503,0.10855962336063385,
0.01931828074157238,0.10124694555997849,12,545,,
,,12,545,0.10710853338241577,
,,13,549,,0.01933382824063301
0.018970217555761337,0.0994088277220726,13,587,,
,,13,587,0.10600750893354416,
,,14,599,,0.019320650026202202
0.01880485936999321,0.09919510781764984,14,629,,
,,14,629,0.10497600585222244,
,,15,649,,0.018629178404808044
0.018711382523179054,0.09869078546762466,15,671,,
,,15,671,0.10424140095710754,
,,16,699,,0.018565205857157707
0.018260451033711433,0.09548375755548477,16,713,,
,,16,713,0.10357364267110825,
,,17,749,,0.018943028524518013
0.01811925880610943,0.09486252814531326,17,755,,
,,17,755,0.10292787104845047,
0.018270090222358704,0.095803402364254,18,797,,
,,18,797,0.10232681781053543,
,,19,799,,0.017816461622714996
0.017954092472791672,0.09349475055932999,19,839,,
,,19,839,0.10186464339494705,
