valid_loss,valid_MAE,epoch,step,train_MAE,train_loss
0.03441838547587395,0.11884801089763641,0,27,,
,,0,27,0.16890178620815277,
,,1,49,,0.03177981078624725
0.029642628505825996,0.1137218177318573,1,55,,
,,1,55,0.12406263500452042,
0.022603044286370277,0.10660278052091599,2,83,,
,,2,83,0.11938416212797165,
,,3,99,,0.02317727357149124
0.018125753849744797,0.09865985810756683,3,111,,
,,3,111,0.11403399705886841,
0.01571640372276306,0.09189802408218384,4,139,,
,,4,139,0.1092502623796463,
,,5,149,,0.019131697714328766
0.014094892889261246,0.08750420063734055,5,167,,
,,5,167,0.10591835528612137,
0.011743365786969662,0.07940838485956192,6,195,,
,,6,195,0.10232317447662354,
,,7,199,,0.01756918989121914
0.008955495432019234,0.06807591766119003,7,223,,
,,7,223,0.09680904448032379,
,,8,249,,0.014255626127123833
0.007345701567828655,0.05890210345387459,8,251,,
,,8,251,0.08977285027503967,
0.006675270851701498,0.055796004831790924,9,279,,
,,9,279,0.08477010577917099,
,,10,299,,0.012360221706330776
0.0064146979711949825,0.054349422454833984,10,307,,
,,10,307,0.08183098584413528,
0.006261896342039108,0.053394004702568054,11,335,,
,,11,335,0.08015270531177521,
,,12,349,,0.012089156545698643
0.006074130069464445,0.05215885490179062,12,363,,
,,12,363,0.07890701293945312,
0.005926995072513819,0.05113695189356804,13,391,,
,,13,391,0.07791689783334732,
,,14,399,,0.012699696235358715
0.0058300388045609,0.05030151456594467,14,419,,
,,14,419,0.07708435505628586,
0.0058359503746032715,0.05020511522889137,15,447,,
,,15,447,0.07643399387598038,
,,16,449,,0.012006140314042568
0.005860441830009222,0.05040067434310913,16,475,,
,,16,475,0.07587540149688721,
,,17,499,,0.01212015375494957
0.005807130131870508,0.05014985054731369,17,503,,
,,17,503,0.07544407993555069,
0.005773079115897417,0.04999113827943802,18,531,,
,,18,531,0.07492174953222275,
,,19,549,,0.011285356245934963
0.0056373183615505695,0.04905924201011658,19,559,,
,,19,559,0.07446423918008804,
