valid_loss,valid_MAE,epoch,step,train_MAE,train_loss
0.03249407559633255,0.14209623634815216,0,41,,
,,0,41,0.18066653609275818,
,,1,49,,0.033012062311172485
0.02453542686998844,0.12289875000715256,1,83,,
,,1,83,0.1417403668165207,
,,2,99,,0.025506315752863884
0.017291326075792313,0.10397427529096603,2,125,,
,,2,125,0.12786173820495605,
,,3,149,,0.021583586931228638
0.013457859866321087,0.09033367782831192,3,167,,
,,3,167,0.11733021587133408,
,,4,199,,0.022101934999227524
0.014634139835834503,0.09337837249040604,4,209,,
,,4,209,0.11182020604610443,
,,5,249,,0.021663863211870193
0.013950150460004807,0.09125223010778427,5,251,,
,,5,251,0.11012120544910431,
0.013563599437475204,0.08958020061254501,6,293,,
,,6,293,0.1088789626955986,
