valid_loss,valid_MAE,epoch,step,train_MAE,train_loss
0.045255232602357864,0.15293321013450623,0,41,,
,,0,41,0.20845095813274384,
,,1,49,,0.049337588250637054
0.04101232439279556,0.14385955035686493,1,83,,
,,1,83,0.16893640160560608,
,,2,99,,0.044406741857528687
0.03702441230416298,0.1403610110282898,2,125,,
,,2,125,0.159166157245636,
,,3,149,,0.03738845884799957
0.029226083308458328,0.1267564296722412,3,167,,
,,3,167,0.14969997107982635,
,,4,199,,0.032774411141872406
0.02554980106651783,0.12079507857561111,4,209,,
,,4,209,0.14144346117973328,
,,5,249,,0.029252637177705765
0.0239996500313282,0.11812525987625122,5,251,,
,,5,251,0.13615664839744568,
0.021916508674621582,0.11188864707946777,6,293,,
,,6,293,0.12980160117149353,
,,7,299,,0.026520196348428726
0.01898411102592945,0.1024959534406662,7,335,,
,,7,335,0.12020830810070038,
,,8,349,,0.020136089995503426
0.018445804715156555,0.1018470898270607,8,377,,
,,8,377,0.11266296356916428,
,,9,399,,0.02060585469007492
0.018258579075336456,0.10120193660259247,9,419,,
,,9,419,0.10947006195783615,
,,10,449,,0.02028532139956951
0.01809684745967388,0.10111221671104431,10,461,,
,,10,461,0.1074720174074173,
,,11,499,,0.019269077107310295
0.018158206716179848,0.10127466171979904,11,503,,
,,11,503,0.10615101456642151,
0.018007341772317886,0.10062349587678909,12,545,,
,,12,545,0.10508602857589722,
,,13,549,,0.018556341528892517
0.017955953255295753,0.10041164606809616,13,587,,
,,13,587,0.10414187610149384,
,,14,599,,0.018292875960469246
0.017803749069571495,0.09997987747192383,14,629,,
,,14,629,0.1034083366394043,
,,15,649,,0.018798332661390305
0.017611369490623474,0.09899813681840897,15,671,,
,,15,671,0.10269985347986221,
,,16,699,,0.018117910251021385
0.017476676031947136,0.09834372997283936,16,713,,
,,16,713,0.10207641869783401,
,,17,749,,0.01771083101630211
0.017578864470124245,0.09859022498130798,17,755,,
,,17,755,0.10134157538414001,
0.01737833395600319,0.09746479243040085,18,797,,
,,18,797,0.10085202008485794,
,,19,799,,0.017902636900544167
0.01736649125814438,0.0973551943898201,19,839,,
,,19,839,0.10035361349582672,
