valid_loss,valid_MAE,epoch,step,train_MAE,train_loss
0.036109138280153275,0.1355528086423874,0,41,,
,,0,41,0.19814737141132355,
,,1,49,,0.04410938173532486
0.026684420183300972,0.12137280404567719,1,83,,
,,1,83,0.1523158997297287,
,,2,99,,0.03327518329024315
0.02416210062801838,0.1191411167383194,2,125,,
,,2,125,0.13993683457374573,
,,3,149,,0.02788892574608326
0.022207612171769142,0.1129337027668953,3,167,,
,,3,167,0.13173089921474457,
,,4,199,,0.02254507876932621
0.019207624718546867,0.10359586775302887,4,209,,
,,4,209,0.12037444859743118,
,,5,249,,0.020151054486632347
0.018786132335662842,0.10230711847543716,5,251,,
,,5,251,0.11163730174303055,
0.018456170335412025,0.10143569856882095,6,293,,
,,6,293,0.10855322331190109,
,,7,299,,0.019663970917463303
0.018340500071644783,0.10110975056886673,7,335,,
,,7,335,0.10687118768692017,
,,8,349,,0.019445372745394707
0.018301289528608322,0.1011870950460434,8,377,,
,,8,377,0.10580261051654816,
,,9,399,,0.019377518445253372
0.018270758911967278,0.1010037437081337,9,419,,
,,9,419,0.10500205308198929,
,,10,449,,0.018885070458054543
0.01793745532631874,0.09973549097776413,10,461,,
,,10,461,0.10431975871324539,
,,11,499,,0.018436258658766747
0.01812860183417797,0.10040318965911865,11,503,,
,,11,503,0.10368868708610535,
0.01818227767944336,0.10050223022699356,12,545,,
,,12,545,0.10320906341075897,
,,13,549,,0.01784481480717659
0.017910713329911232,0.09952808171510696,13,587,,
,,13,587,0.10284319519996643,
,,14,599,,0.018602734431624413
0.01801849715411663,0.09966623038053513,14,629,,
,,14,629,0.10238054394721985,
,,15,649,,0.01785755716264248
0.017944036051630974,0.09921146184206009,15,671,,
,,15,671,0.1018269956111908,
,,16,699,,0.017923403531312943
0.01772874779999256,0.09875525534152985,16,713,,
,,16,713,0.1013466939330101,
,,17,749,,0.01700758747756481
0.01771153323352337,0.09813633561134338,17,755,,
,,17,755,0.10098562389612198,
0.017714478075504303,0.09817159920930862,18,797,,
,,18,797,0.1006392315030098,
,,19,799,,0.018234960734844208
0.017757976427674294,0.09854092448949814,19,839,,
,,19,839,0.10024816542863846,
