valid_loss,valid_MAE,epoch,step,train_MAE,train_loss
0.03613021969795227,0.13094821572303772,0,41,,
,,0,41,0.1958273947238922,
,,1,49,,0.04831933602690697
0.0317218080163002,0.1198626458644867,1,83,,
,,1,83,0.16619087755680084,
,,2,99,,0.04118116945028305
0.021863922476768494,0.1046728864312172,2,125,,
,,2,125,0.15257391333580017,
,,3,149,,0.032462675124406815
0.018223535269498825,0.10143207758665085,3,167,,
,,3,167,0.14077220857143402,
,,4,199,,0.03005366027355194
0.016374817118048668,0.09813156723976135,4,209,,
,,4,209,0.13602261245250702,
,,5,249,,0.024528952315449715
0.012272177264094353,0.08490721136331558,5,251,,
,,5,251,0.12733155488967896,
0.010528942570090294,0.08083011955022812,6,293,,
,,6,293,0.11477617919445038,
,,7,299,,0.020369432866573334
0.010322446003556252,0.07965853810310364,7,335,,
,,7,335,0.10975883156061172,
,,8,349,,0.019899742677807808
0.00999862514436245,0.07928965240716934,8,377,,
,,8,377,0.10745400935411453,
,,9,399,,0.019443867728114128
0.009945030324161053,0.07926618307828903,9,419,,
,,9,419,0.10590299963951111,
,,10,449,,0.01903073862195015
0.010028799064457417,0.0788002759218216,10,461,,
,,10,461,0.10488320142030716,
,,11,499,,0.01944330707192421
0.009808317758142948,0.07840700447559357,11,503,,
,,11,503,0.104060597717762,
0.009735668078064919,0.07836704701185226,12,545,,
,,12,545,0.10337357223033905,
,,13,549,,0.018715716898441315
0.009649178944528103,0.07805261015892029,13,587,,
,,13,587,0.10274845361709595,
,,14,599,,0.01764790713787079
0.009723037481307983,0.07735424488782883,14,629,,
,,14,629,0.10208386182785034,
,,15,649,,0.017349809408187866
0.00937831774353981,0.07519152760505676,15,671,,
,,15,671,0.10160937905311584,
,,16,699,,0.018466318026185036
0.009304135106503963,0.07584653049707413,16,713,,
,,16,713,0.10108079761266708,
,,17,749,,0.01728128269314766
0.009082998149096966,0.07436518371105194,17,755,,
,,17,755,0.10047369450330734,
0.008997227065265179,0.07370147854089737,18,797,,
,,18,797,0.10000069439411163,
,,19,799,,0.016987809911370277
0.009046776220202446,0.07365278899669647,19,839,,
,,19,839,0.09960724413394928,
