valid_loss,valid_MAE,epoch,step,train_MAE,train_loss
0.03926185891032219,0.14181965589523315,0,27,,
,,0,27,0.17600254714488983,
,,1,49,,0.03413934260606766
0.03706301376223564,0.1366635411977768,1,55,,
,,1,55,0.1272384226322174,
0.035176683217287064,0.13552196323871613,2,83,,
,,2,83,0.12391720712184906,
,,3,99,,0.03137723729014397
0.03413189947605133,0.13406603038311005,3,111,,
,,3,111,0.121427021920681,
0.03289585933089256,0.13185471296310425,4,139,,
,,4,139,0.12035180628299713,
,,5,149,,0.030556488782167435
0.03147553279995918,0.130750834941864,5,167,,
,,5,167,0.11960286647081375,
0.029639121145009995,0.12889941036701202,6,195,,
,,6,195,0.11886237561702728,
,,7,199,,0.028213758021593094
0.027946652844548225,0.12616987526416779,7,223,,
,,7,223,0.11828041076660156,
,,8,249,,0.023811757564544678
0.024396436288952827,0.12116968631744385,8,251,,
,,8,251,0.11597055196762085,
0.02074163779616356,0.11368412524461746,9,279,,
,,9,279,0.11134418845176697,
,,10,299,,0.019616469740867615
0.01936190016567707,0.11024246364831924,10,307,,
,,10,307,0.10734440386295319,
0.01818317361176014,0.10661602765321732,11,335,,
,,11,335,0.10401368886232376,
,,12,349,,0.017262522131204605
0.016898708418011665,0.10005557537078857,12,363,,
,,12,363,0.0997527465224266,
0.014875175431370735,0.09077727049589157,13,391,,
,,13,391,0.09435427188873291,
,,14,399,,0.014245483092963696
0.013667402788996696,0.08324289321899414,14,419,,
,,14,419,0.08879900723695755,
0.013731371611356735,0.08183776587247849,15,447,,
,,15,447,0.08462449908256531,
,,16,449,,0.01375899650156498
0.01306108757853508,0.07913234084844589,16,475,,
,,16,475,0.08215822279453278,
,,17,499,,0.01308491826057434
0.012999972328543663,0.07847506552934647,17,503,,
,,17,503,0.08062657713890076,
0.012908656150102615,0.07779566198587418,18,531,,
,,18,531,0.07938574999570847,
,,19,549,,0.012801796197891235
0.012920522131025791,0.07778996229171753,19,559,,
,,19,559,0.07838462293148041,
