valid_loss,valid_MAE,epoch,step,train_MAE,train_loss
0.01858239248394966,0.10091444104909897,0,27,,
,,0,27,0.15329115092754364,
,,1,49,,0.021395182237029076
0.014295666478574276,0.08786242455244064,1,55,,
,,1,55,0.11284953355789185,
0.010732060298323631,0.07663925737142563,2,83,,
,,2,83,0.10362552106380463,
,,3,99,,0.015455227345228195
0.007371929474174976,0.06093428656458855,3,111,,
,,3,111,0.09399460256099701,
0.0062093473970890045,0.052445657551288605,4,139,,
,,4,139,0.08383408933877945,
,,5,149,,0.013458363711833954
0.006071263458579779,0.051261041313409805,5,167,,
,,5,167,0.07934137433767319,
0.006027870811522007,0.05053461343050003,6,195,,
,,6,195,0.07770952582359314,
,,7,199,,0.011886504478752613
0.005918035749346018,0.050057776272296906,7,223,,
,,7,223,0.07639969885349274,
,,8,249,,0.012778664007782936
0.006071771029382944,0.051400281488895416,8,251,,
,,8,251,0.0753217563033104,
0.005750628188252449,0.0486292839050293,9,279,,
,,9,279,0.0744885578751564,
,,10,299,,0.01103130541741848
0.005898192524909973,0.049213606864213943,10,307,,
,,10,307,0.07342754304409027,
0.005799117032438517,0.04788607731461525,11,335,,
,,11,335,0.07264916598796844,
,,12,349,,0.010951928794384003
0.005778274964541197,0.047983311116695404,12,363,,
,,12,363,0.07183656841516495,
0.00583339249715209,0.047626543790102005,13,391,,
,,13,391,0.07115602493286133,
