valid_loss,valid_MAE,epoch,step,train_MAE,train_loss
0.03979324921965599,0.15020465850830078,0,41,,
,,0,41,0.19920122623443604,
,,1,49,,0.04191289842128754
0.03011767752468586,0.13491378724575043,1,83,,
,,1,83,0.15317502617835999,
,,2,99,,0.03270690143108368
0.028819425031542778,0.13337530195713043,2,125,,
,,2,125,0.14072757959365845,
,,3,149,,0.027588924393057823
0.027259156107902527,0.12986209988594055,3,167,,
,,3,167,0.13265101611614227,
,,4,199,,0.023996297270059586
0.024863366037607193,0.12319516390562057,4,209,,
,,4,209,0.12435067445039749,
,,5,249,,0.021801955997943878
0.022388476878404617,0.11766155064105988,5,251,,
,,5,251,0.1152927502989769,
0.021073240786790848,0.11444509029388428,6,293,,
,,6,293,0.11020456999540329,
,,7,299,,0.019549429416656494
0.02136264555156231,0.11485607922077179,7,335,,
,,7,335,0.10789762437343597,
,,8,349,,0.018963564187288284
0.021137453615665436,0.11433016508817673,8,377,,
,,8,377,0.1066238284111023,
,,9,399,,0.019143203273415565
0.020609861239790916,0.11285535991191864,9,419,,
,,9,419,0.10562410950660706,
,,10,449,,0.01832389459013939
0.020665893331170082,0.11336614936590195,10,461,,
,,10,461,0.10481783747673035,
,,11,499,,0.018472686409950256
0.021081173792481422,0.11439519375562668,11,503,,
,,11,503,0.10410725325345993,
0.02027786895632744,0.11165281385183334,12,545,,
,,12,545,0.10359898954629898,
,,13,549,,0.018363922834396362
0.020398257300257683,0.11239644140005112,13,587,,
,,13,587,0.10301633179187775,
,,14,599,,0.01873921975493431
0.020304786041378975,0.11192724853754044,14,629,,
,,14,629,0.10244840383529663,
,,15,649,,0.018374687060713768
0.019732551649212837,0.11022194474935532,15,671,,
,,15,671,0.10190680623054504,
,,16,699,,0.01746872439980507
0.019987158477306366,0.11109074205160141,16,713,,
,,16,713,0.10144541412591934,
,,17,749,,0.018343431875109673
0.019698498770594597,0.11008068919181824,17,755,,
,,17,755,0.1010713279247284,
0.019830111414194107,0.11044088006019592,18,797,,
,,18,797,0.10072533041238785,
,,19,799,,0.01660129986703396
0.019183456897735596,0.10831675678491592,19,839,,
,,19,839,0.10022969543933868,
