valid_loss,valid_MAE,epoch,step,train_MAE,train_loss
0.029277464374899864,0.11290179193019867,0,27,,
,,0,27,0.17903566360473633,
,,1,49,,0.033535175025463104
0.02520521730184555,0.1079900935292244,1,55,,
,,1,55,0.12675952911376953,
0.02424774505198002,0.10632987320423126,2,83,,
,,2,83,0.12390094250440598,
,,3,99,,0.030946848914027214
0.022542409598827362,0.10365945100784302,3,111,,
,,3,111,0.12019369006156921,
0.01991332694888115,0.1023162454366684,4,139,,
,,4,139,0.11660809069871902,
,,5,149,,0.023254774510860443
0.017895683646202087,0.10395779460668564,5,167,,
,,5,167,0.11234010010957718,
0.017051639035344124,0.10281124711036682,6,195,,
,,6,195,0.10925780236721039,
,,7,199,,0.020290987566113472
0.016441967338323593,0.10097797960042953,7,223,,
,,7,223,0.10592129826545715,
,,8,249,,0.017835864797234535
0.0154273035004735,0.09712240844964981,8,251,,
,,8,251,0.10239391773939133,
0.01429566740989685,0.09218917787075043,9,279,,
,,9,279,0.0976065844297409,
,,10,299,,0.014762543141841888
0.013220266439020634,0.08457706868648529,10,307,,
,,10,307,0.09151501208543777,
0.0129578597843647,0.08104348927736282,11,335,,
,,11,335,0.08579401671886444,
,,12,349,,0.013966016471385956
0.012776145711541176,0.0799720287322998,12,363,,
,,12,363,0.08306052535772324,
0.012805513106286526,0.07973393052816391,13,391,,
,,13,391,0.08148661255836487,
,,14,399,,0.012902708724141121
0.012350928969681263,0.07855115085840225,14,419,,
,,14,419,0.08021089434623718,
0.012602010741829872,0.07846242934465408,15,447,,
,,15,447,0.07928186655044556,
,,16,449,,0.01273265853524208
0.012172511778771877,0.07768857479095459,16,475,,
,,16,475,0.07842905074357986,
,,17,499,,0.012757297605276108
0.012027248740196228,0.07686623930931091,17,503,,
,,17,503,0.07768094539642334,
0.012018506415188313,0.07696948200464249,18,531,,
,,18,531,0.0771380215883255,
,,19,549,,0.01193149946630001
0.01190788485109806,0.07607806473970413,19,559,,
,,19,559,0.0764610543847084,
