valid_loss,valid_MAE,epoch,step,train_MAE,train_loss
0.029461897909641266,0.11303731799125671,0,27,,
,,0,27,0.17698383331298828,
,,1,49,,0.03472311049699783
0.025922412052750587,0.10801398009061813,1,55,,
,,1,55,0.1268911063671112,
0.02555828168988228,0.10867764055728912,2,83,,
,,2,83,0.12509383261203766,
,,3,99,,0.03263041004538536
0.02507334202528,0.10731803625822067,3,111,,
,,3,111,0.12344636768102646,
0.024742286652326584,0.10594494640827179,4,139,,
,,4,139,0.12103062868118286,
,,5,149,,0.03175273910164833
0.02405574545264244,0.10557497292757034,5,167,,
,,5,167,0.11935689300298691,
0.022790275514125824,0.10549173504114151,6,195,,
,,6,195,0.1181485578417778,
,,7,199,,0.029501842334866524
0.020619483664631844,0.10305976867675781,7,223,,
,,7,223,0.11719921976327896,
,,8,249,,0.02324109897017479
0.018020540475845337,0.10088305920362473,8,251,,
,,8,251,0.11431325972080231,
0.016849754378199577,0.09983262419700623,9,279,,
,,9,279,0.11067917943000793,
,,10,299,,0.020207321271300316
0.01607542112469673,0.09842889755964279,10,307,,
,,10,307,0.10716738551855087,
0.01547222025692463,0.09697555005550385,11,335,,
,,11,335,0.10315766930580139,
,,12,349,,0.017528701573610306
0.014320360496640205,0.09192738682031631,12,363,,
,,12,363,0.09842199832201004,
0.013721955008804798,0.08873329311609268,13,391,,
,,13,391,0.09426113218069077,
,,14,399,,0.015187777578830719
0.013068463653326035,0.08441261947154999,14,419,,
,,14,419,0.09002823382616043,
0.012750553898513317,0.08097714185714722,15,447,,
,,15,447,0.085849329829216,
,,16,449,,0.013712204992771149
0.01280092354863882,0.07995117455720901,16,475,,
,,16,475,0.08296437561511993,
,,17,499,,0.012959306128323078
0.012416243553161621,0.07846598327159882,17,503,,
,,17,503,0.0811271145939827,
0.01237593311816454,0.07805007696151733,18,531,,
,,18,531,0.07976717501878738,
,,19,549,,0.012403160333633423
0.012264097109436989,0.07789459079504013,19,559,,
,,19,559,0.07877924293279648,
