valid_loss,valid_MAE,epoch,step,train_MAE,train_loss
0.031337372958660126,0.13955114781856537,0,41,,
,,0,41,0.1904890090227127,
,,1,49,,0.035547949373722076
0.027811674401164055,0.13104137778282166,1,83,,
,,1,83,0.14494366943836212,
,,2,99,,0.027619950473308563
0.024988172575831413,0.1240079328417778,2,125,,
,,2,125,0.12996292114257812,
,,3,149,,0.022383615374565125
0.02238529548048973,0.11830026656389236,3,167,,
,,3,167,0.11694458872079849,
,,4,199,,0.021537963300943375
0.02312806434929371,0.11982523649930954,4,209,,
,,4,209,0.11205914616584778,
,,5,249,,0.020758623257279396
0.02219829149544239,0.1166970357298851,5,251,,
,,5,251,0.11034147441387177,
0.02199418656527996,0.11530094593763351,6,293,,
,,6,293,0.10959982872009277,
,,7,299,,0.021593734622001648
0.02188132144510746,0.11524191498756409,7,335,,
,,7,335,0.10844387114048004,
,,8,349,,0.019170761108398438
0.021982843056321144,0.11519595235586166,8,377,,
,,8,377,0.10757409781217575,
,,9,399,,0.02019728161394596
0.021400263532996178,0.11299805343151093,9,419,,
,,9,419,0.1071247085928917,
,,10,449,,0.019209520891308784
0.02105497382581234,0.11188560724258423,10,461,,
,,10,461,0.10651679337024689,
,,11,499,,0.017337869852781296
0.02084234356880188,0.11091072857379913,11,503,,
,,11,503,0.1059100329875946,
0.020630517974495888,0.1095961481332779,12,545,,
,,12,545,0.10538661479949951,
,,13,549,,0.01987147144973278
0.020703280344605446,0.11073420941829681,13,587,,
,,13,587,0.10502484440803528,
,,14,599,,0.017674248665571213
0.020324330776929855,0.10901123285293579,14,629,,
,,14,629,0.1046912893652916,
,,15,649,,0.01875387504696846
0.020605167374014854,0.10921310633420944,15,671,,
,,15,671,0.1043073907494545,
,,16,699,,0.018422076478600502
0.020277054980397224,0.10791366547346115,16,713,,
,,16,713,0.10411951690912247,
,,17,749,,0.018474701792001724
0.020031223073601723,0.10678596794605255,17,755,,
,,17,755,0.10389403998851776,
0.020151818171143532,0.10719844698905945,18,797,,
,,18,797,0.10375307500362396,
,,19,799,,0.019181057810783386
0.02048521861433983,0.1080833449959755,19,839,,
,,19,839,0.1037578210234642,
