valid_loss,valid_MAE,epoch,step,train_MAE,train_loss
0.04491668567061424,0.17722564935684204,0,41,,
,,0,41,0.1990835815668106,
,,1,49,,0.046943750232458115
0.03709413483738899,0.15154506266117096,1,83,,
,,1,83,0.16133056581020355,
,,2,99,,0.036741554737091064
0.029496045783162117,0.13599231839179993,2,125,,
,,2,125,0.14508531987667084,
,,3,149,,0.03031419776380062
0.023030955344438553,0.11779823154211044,3,167,,
,,3,167,0.13560369610786438,
,,4,199,,0.024174323305487633
0.014508242718875408,0.09637221693992615,4,209,,
,,4,209,0.12375228852033615,
,,5,249,,0.021072106435894966
0.012994506396353245,0.08619244396686554,5,251,,
,,5,251,0.11311239004135132,
0.013008475303649902,0.08689408749341965,6,293,,
,,6,293,0.10909372568130493,
,,7,299,,0.01990721933543682
0.012704058550298214,0.08296523243188858,7,335,,
,,7,335,0.10714607685804367,
,,8,349,,0.018943097442388535
0.012607919983565807,0.08220063894987106,8,377,,
,,8,377,0.10575998574495316,
,,9,399,,0.017988210543990135
0.012640717439353466,0.08120866864919662,9,419,,
,,9,419,0.10496777296066284,
,,10,449,,0.019100183621048927
0.012576534412801266,0.08177919685840607,10,461,,
,,10,461,0.10406922549009323,
,,11,499,,0.018177911639213562
0.012409956194460392,0.08120507746934891,11,503,,
,,11,503,0.1035325899720192,
0.012298483401536942,0.08169890195131302,12,545,,
,,12,545,0.10296396166086197,
,,13,549,,0.018841348588466644
0.012376674450933933,0.0819176658987999,13,587,,
,,13,587,0.10250067710876465,
,,14,599,,0.017853373661637306
0.012456228956580162,0.08099038898944855,14,629,,
,,14,629,0.10200110822916031,
,,15,649,,0.018038224428892136
0.012292400002479553,0.08222545683383942,15,671,,
,,15,671,0.10159812122583389,
,,16,699,,0.017647042870521545
0.012240821495652199,0.08217055350542068,16,713,,
,,16,713,0.10109059512615204,
,,17,749,,0.017539924010634422
0.01244506984949112,0.0816960483789444,17,755,,
,,17,755,0.10067050158977509,
0.012230553664267063,0.08099477738142014,18,797,,
,,18,797,0.10017712414264679,
,,19,799,,0.018469620496034622
0.012226841412484646,0.08028296381235123,19,839,,
,,19,839,0.09973379969596863,
