train_loss,epoch,step,valid_loss,valid_MAE,train_MAE
0.03421209380030632,0,49,,,
,0,54,0.03691517561674118,0.13930992782115936,
,0,54,,,0.1536279022693634
0.032418135553598404,1,99,,,
,1,109,0.03416981175541878,0.13375046849250793,
,1,109,,,0.12362770736217499
0.030125843361020088,2,149,,,
,2,164,0.03190956637263298,0.13251470029354095,
,2,164,,,0.12037985771894455
0.027690183371305466,3,199,,,
,3,219,0.028110569342970848,0.12682020664215088,
,3,219,,,0.11853517591953278
0.023170094937086105,4,249,,,
,4,274,0.020005622878670692,0.1111263632774353,
,4,274,,,0.11242683976888657
0.020789392292499542,5,299,,,
,5,329,0.01771923154592514,0.10316665470600128,
,5,329,,,0.10410188883543015
0.016186434775590897,6,349,,,
,6,384,0.014513947069644928,0.08655650913715363,
,6,384,,,0.09563465416431427
0.014984674751758575,7,399,,,
,7,439,0.013822145760059357,0.08197130262851715,
,7,439,,,0.08642085641622543
0.013452617451548576,8,449,,,
,8,494,0.013634896837174892,0.08109547942876816,
,8,494,,,0.08167842775583267
0.01362293865531683,9,499,,,
0.01330136600881815,9,549,,,
,9,549,0.013312047347426414,0.07985802739858627,
,9,549,,,0.07928519695997238
0.011444762349128723,10,599,,,
,10,604,0.012634824961423874,0.07638885080814362,
,10,604,,,0.07755035161972046
0.012819631956517696,11,649,,,
,11,659,0.012512123212218285,0.07628680020570755,
,11,659,,,0.07622602581977844
0.011788013391196728,12,699,,,
,12,714,0.012230843305587769,0.07501944154500961,
,12,714,,,0.0749378576874733
0.01171925663948059,13,749,,,
,13,769,0.012001709081232548,0.07506658881902695,
,13,769,,,0.07381410151720047
0.011825701221823692,14,799,,,
,14,824,0.011714274995028973,0.0740603432059288,
,14,824,,,0.07275108247995377
0.010981549508869648,15,849,,,
,15,879,0.011214176192879677,0.07254491746425629,
,15,879,,,0.07171331346035004
0.010759289376437664,16,899,,,
,16,934,0.010836764238774776,0.07133683562278748,
,16,934,,,0.07072195410728455
0.010797780938446522,17,949,,,
,17,989,0.0103070717304945,0.069309763610363,
,17,989,,,0.06970725208520889
0.011122084222733974,18,999,,,
,18,1044,0.010136362165212631,0.068184033036232,
,18,1044,,,0.0688544437289238
0.011325356550514698,19,1049,,,
0.010191221721470356,19,1099,,,
,19,1099,0.0097822155803442,0.06668233126401901,
,19,1099,,,0.06788913905620575
