valid_loss,valid_MAE,epoch,step,train_MAE,train_loss
0.042292214930057526,0.15878188610076904,0,41,,
,,0,41,0.21522414684295654,
,,1,49,,0.04748336970806122
0.03499406576156616,0.14526106417179108,1,83,,
,,1,83,0.16520370543003082,
,,2,99,,0.037444818764925
0.025836726650595665,0.13224513828754425,2,125,,
,,2,125,0.14967553317546844,
,,3,149,,0.03180193528532982
0.0233211237937212,0.12566864490509033,3,167,,
,,3,167,0.13916878402233124,
,,4,199,,0.027482464909553528
0.022618865594267845,0.12320172041654587,4,209,,
,,4,209,0.13286760449409485,
,,5,249,,0.024036042392253876
0.020988313481211662,0.11815987527370453,5,251,,
,,5,251,0.12507186830043793,
0.0203944593667984,0.11633143573999405,6,293,,
,,6,293,0.11809656769037247,
,,7,299,,0.021524515002965927
0.019260816276073456,0.11169656366109848,7,335,,
,,7,335,0.11227302998304367,
,,8,349,,0.01982945203781128
0.018989361822605133,0.11005499213933945,8,377,,
,,8,377,0.1089879646897316,
,,9,399,,0.019315000623464584
0.018974190577864647,0.11009904742240906,9,419,,
,,9,419,0.10726998001337051,
,,10,449,,0.019665740430355072
0.018495671451091766,0.10839154571294785,10,461,,
,,10,461,0.10602393001317978,
,,11,499,,0.01818171702325344
0.018664315342903137,0.10852888226509094,11,503,,
,,11,503,0.10509157180786133,
0.01830487884581089,0.10747139155864716,12,545,,
,,12,545,0.10432861000299454,
,,13,549,,0.018683547154068947
0.01829817332327366,0.10730660706758499,13,587,,
,,13,587,0.10369297116994858,
,,14,599,,0.018952662125229836
0.01841205172240734,0.10767419636249542,14,629,,
,,14,629,0.10313329845666885,
,,15,649,,0.018131278455257416
0.01816961169242859,0.10695289820432663,15,671,,
,,15,671,0.10273341834545135,
,,16,699,,0.018332023173570633
0.0178856011480093,0.10548397153615952,16,713,,
,,16,713,0.10222018510103226,
,,17,749,,0.01728622242808342
0.017637424170970917,0.1042240560054779,17,755,,
,,17,755,0.10175971686840057,
0.01807381585240364,0.10586882382631302,18,797,,
,,18,797,0.10127531737089157,
,,19,799,,0.01866631582379341
0.01752348616719246,0.10390445590019226,19,839,,
,,19,839,0.10095193237066269,
