valid_loss,valid_MAE,epoch,step,train_MAE,train_loss
0.04711470752954483,0.16325537860393524,0,41,,
,,0,41,0.20278139412403107,
,,1,49,,0.05074603110551834
0.044081781059503555,0.15630526840686798,1,83,,
,,1,83,0.1696840226650238,
,,2,99,,0.04613732174038887
0.03707209601998329,0.14972907304763794,2,125,,
,,2,125,0.1616421937942505,
,,3,149,,0.04269440472126007
0.03374240919947624,0.14547240734100342,3,167,,
,,3,167,0.15521042048931122,
,,4,199,,0.0338551290333271
0.02951107919216156,0.13612820208072662,4,209,,
,,4,209,0.14542023837566376,
,,5,249,,0.03040238842368126
0.028122656047344208,0.1328747719526291,5,251,,
,,5,251,0.13814163208007812,
0.02616862952709198,0.128649041056633,6,293,,
,,6,293,0.13174846768379211,
,,7,299,,0.02639799565076828
0.023777728900313377,0.12247135490179062,7,335,,
,,7,335,0.12233735620975494,
,,8,349,,0.02154172584414482
0.023399975150823593,0.12060166895389557,8,377,,
,,8,377,0.11373320966959,
,,9,399,,0.020228635519742966
0.023380044847726822,0.11980389803647995,9,419,,
,,9,419,0.10966074466705322,
,,10,449,,0.020014211535453796
0.02297709323465824,0.11884919553995132,10,461,,
,,10,461,0.10741471499204636,
,,11,499,,0.019266948103904724
0.0229776743799448,0.11859425157308578,11,503,,
,,11,503,0.10593191534280777,
0.022511672228574753,0.11772292852401733,12,545,,
,,12,545,0.10496433079242706,
,,13,549,,0.01857176050543785
0.022294776514172554,0.11736157536506653,13,587,,
,,13,587,0.10408433526754379,
,,14,599,,0.019133519381284714
0.02192310430109501,0.11655525863170624,14,629,,
,,14,629,0.10337613523006439,
,,15,649,,0.01889793947339058
0.02153669111430645,0.11583239585161209,15,671,,
,,15,671,0.102801613509655,
,,16,699,,0.017911260947585106
0.0213082917034626,0.11536648124456406,16,713,,
,,16,713,0.10213302075862885,
,,17,749,,0.018081750720739365
0.02077164314687252,0.11418174207210541,17,755,,
,,17,755,0.10161780565977097,
0.02039952762424946,0.11334724724292755,18,797,,
,,18,797,0.10113835334777832,
,,19,799,,0.01826447993516922
0.02029382809996605,0.11312813311815262,19,839,,
,,19,839,0.10069981962442398,
