valid_loss,valid_MAE,epoch,step,train_MAE,train_loss
0.04950882866978645,0.18069933354854584,0,27,,
,,0,27,0.1767151802778244,
,,1,49,,0.034157175570726395
0.04776272177696228,0.17485271394252777,1,55,,
,,1,55,0.12813103199005127,
0.04746526852250099,0.17547327280044556,2,83,,
,,2,83,0.12445300072431564,
,,3,99,,0.030962206423282623
0.04692896455526352,0.17458824813365936,3,111,,
,,3,111,0.12199444323778152,
0.04522983729839325,0.17172349989414215,4,139,,
,,4,139,0.11885381489992142,
,,5,149,,0.025298088788986206
0.041843898594379425,0.1638559103012085,5,167,,
,,5,167,0.11521975696086884,
0.039292801171541214,0.15844763815402985,6,195,,
,,6,195,0.11078137904405594,
,,7,199,,0.020254261791706085
0.03769465908408165,0.15503963828086853,7,223,,
,,7,223,0.10676626861095428,
,,8,249,,0.01890357956290245
0.03637830913066864,0.15176737308502197,8,251,,
,,8,251,0.10335723310709,
0.035124771296978,0.14788690209388733,9,279,,
,,9,279,0.09974007308483124,
,,10,299,,0.01577921211719513
0.033355697989463806,0.14285700023174286,10,307,,
,,10,307,0.09432286769151688,
0.03178958594799042,0.13941118121147156,11,335,,
,,11,335,0.0884518027305603,
,,12,349,,0.013875733129680157
0.031102456152439117,0.13787218928337097,12,363,,
,,12,363,0.08469585329294205,
0.03072362020611763,0.13647204637527466,13,391,,
,,13,391,0.08245473355054855,
,,14,399,,0.013314660638570786
0.03058467246592045,0.13586612045764923,14,419,,
,,14,419,0.081071637570858,
0.030307380482554436,0.13603931665420532,15,447,,
,,15,447,0.08006179332733154,
,,16,449,,0.013054012320935726
0.03025669790804386,0.13595527410507202,16,475,,
,,16,475,0.07915251702070236,
,,17,499,,0.011923748068511486
0.030295638367533684,0.1357489675283432,17,503,,
,,17,503,0.07830656319856644,
0.030197177082300186,0.13529522716999054,18,531,,
,,18,531,0.0777120292186737,
,,19,549,,0.011549715884029865
0.030023768544197083,0.13526739180088043,19,559,,
,,19,559,0.07709430903196335,
